Zimtschneckenkuchen Kastenkuchen | Zucker, Zimt und Liebe;http://www.zuckerzimtundliebe.de/2015/01/rezept-zimtschneckenkuchen-zimtschnecke-zimtkuchen-kastenkuchen-ruhrteig-einfaches-backrezept-zuckerzimtundliebe-foodblog-easy-cinnamon-loaf-recipe/;www.zuckerzimtundliebe.de;October 11, 2015;['Zimt', 'rezepte', 'Rührkuchen', 'Gebäck']
Schoko-Apfel-Kuchen;http://lifeisfullofgoodies.com/2015/09/13/schoko-apfelkuchen-mit-mandeln-und-karamell/;lifeisfullofgoodies.com;October 11, 2015;['schokolade', 'Apfel', 'birn', 'Gebäck']
Kirsch Streuselkuchen mit Walnuss | Zucker, Zimt und Liebe;http://www.zuckerzimtundliebe.de/2015/06/rezept-fuer-kirsch-streuselkuchen-mit-walnuss-fleur-de-sel-streuseln/;www.zuckerzimtundliebe.de;October 11, 2015;['Kirschen', 'Streusel', 'Rührkuchen', 'Gebäck']
HibbyAloha: {Food Friday} Lemon Bars;http://www.hibbyaloha.de/2015/09/food-friday-lemon-bars.html;www.hibbyaloha.de;September 14, 2015;['zitrone', 'Blechkuchen']
BBC - Food - Recipes : Paul Hollywood's scones;http://www.bbc.co.uk/food/recipes/paul_hollywoods_scones_70005;www.bbc.co.uk;July 15, 2015;['Scones', 'Kleingebäck', 'rezepte', 'Gebäck', 'british']
Lemon Bars;http://thepioneerwoman.com/cooking/2015/06/lemon-bars/;thepioneerwoman.com;June 30, 2015;['rezepte', 'Gebäck', 'zitrone', 'Blechkuchen']
Rhabarber-Erdbeer-Pie | Backbube;http://www.backbube.com/2015/05/17/saftig-knusprig-himmlisch-rhabarber-erdbeeren-treffen-auf-einen-knusprigen-teig-rhabarber-erdbeer-pie/;www.backbube.com;June 04, 2015;['Erdbeeren', 'Rharbarber', 'pie']
Poppy Seed Cheese-Cake mit Streuseln;http://lillysluckyadventures.blogspot.de/2015/05/der-perfekte-sonntagskuchen-poppyseed.html;lillysluckyadventures.blogspot.de;June 04, 2015;['mohn', 'Quark', 'Streusel']
Low Carb Zupfkuchen Muffins ~ Beauty Butterflies;http://www.beautybutterflies.de/2015/05/rezept-low-carb-zupfkuchen-muffins.html;www.beautybutterflies.de;June 04, 2015;['Low Carb', 'Quark', 'schokolade']
Knitty: Magic cast-on for toe-up socks;http://knitty.com/ISSUEspring06/FEATmagiccaston.html;knitty.com;April 08, 2015;['knitting', 'socks', 'cast-on', 'judysmagiccaston']
